Student ID,Student Name,Room Number,Student Mobile,Parent Mobile,Student Year,Hostel Name,Student Password,Parent Password
21N81A0001,Rahul Sharma,101,9876543201,9123456701,1,hosteltest,Student@12345,Parent@12345
21N81A0002,Priya Patel,102,9876543202,9123456702,2,hosteltest,Student@12345,Parent@12345
21N81A0003,Amit Verma,103,9876543203,9123456703,3,hosteltest,Student@12345,Parent@12345
21N81A0004,Sneha Reddy,104,9876543204,9123456704,4,hosteltest,Student@12345,Parent@12345
21N81A0005,Vikram Singh,105,9876543205,9123456705,1,hosteltest,Student@12345,Parent@12345
21N81A0006,Ananya Sen,106,9876543206,9123456705,1,hosteltest,Student@12345,Parent@12345
21N81A0007,Rohan Gupta,107,9876543207,9123456707,2,hosteltest,Student@12345,Parent@12345
21N81A0008,Sandeep Kumar,108,9876543208,9123456708,3,hosteltest,Student@12345,Parent@12345
21N81A0009,Divya Rao,109,9876543209,9123456709,4,hosteltest,Student@12345,Parent@12345
21N81A0010,Karan Johar,110,9876543210,9123456710,1,hosteltest,Student@12345,Parent@12345
21N81A0011,Nehal Modi,201,9876543211,9123456711,2,hosteltest,Student@12345,Parent@12345
21N81A0012,Gaurav Kapoor,202,9876543212,9123456712,3,hosteltest,Student@12345,Parent@12345
21N81A0013,Meera Jasmine,203,9876543213,9123456713,4,hosteltest,Student@12345,Parent@12345
21N81A0014,Abhishek Bachchan,204,9876543214,9123456714,1,hosteltest,Student@12345,Parent@12345
21N81A0015,Kriti Sanon,205,9876543215,9123456715,2,hosteltest,Student@12345,Parent@12345
21N81A0016,Rajesh Khanna,206,9876543216,9123456716,3,hosteltest,Student@12345,Parent@12345
21N81A0017,Dimple Kapadia,207,9876543217,9123456717,4,hosteltest,Student@12345,Parent@12345
21N81A0018,Harbhajan Singh,208,9876543218,9123456718,1,hosteltest,Student@12345,Parent@12345
21N81A0019,Yuvraj Singh,209,9876543219,9123456719,2,hosteltest,Student@12345,Parent@12345
21N81A0020,Mahendra Dhoni,210,9876543220,9123456720,3,hosteltest,Student@12345,Parent@12345
21N81A0021,Virat Kohli,301,9876543221,9123456721,4,hosteltest,Student@12345,Parent@12345
21N81A0022,Anushka Sharma,302,9876543222,9123456721,1,hosteltest,Student@12345,Parent@12345
21N81A0023,Jasprit Bumrah,303,9876543223,9123456723,2,hosteltest,Student@12345,Parent@12345
21N81A0024,Rishabh Pant,304,9876543224,9123456724,3,hosteltest,Student@12345,Parent@12345
21N81A0025,Hardik Pandya,305,9876543225,9123456725,4,hosteltest,Student@12345,Parent@12345
21N81A0026,Krunal Pandya,306,9876543226,9123456725,1,hosteltest,Student@12345,Parent@12345
21N81A0027,Shikhar Dhawan,307,9876543227,9123456727,2,hosteltest,Student@12345,Parent@12345
21N81A0028,Bhuvneshwar Kumar,308,9876543228,9123456728,3,hosteltest,Student@12345,Parent@12345
21N81A0029,Shreyas Iyer,309,9876543229,9123456729,4,hosteltest,Student@12345,Parent@12345
21N81A0030,K L Rahul,310,9876543230,9123456730,1,hosteltest,Student@12345,Parent@12345
21N81A0031,Sunil Gavaskar,401,9876543231,9123456731,2,hosteltest,Student@12345,Parent@12345
21N81A0032,Kapil Dev,402,9876543232,9123456732,3,hosteltest,Student@12345,Parent@12345
21N81A0033,Sachin Tendulkar,403,9876543233,9123456733,4,hosteltest,Student@12345,Parent@12345
21N81A0034,Sara Tendulkar,404,9876543234,9123456733,1,hosteltest,Student@12345,Parent@12345
21N81A0035,Arjun Tendulkar,405,9876543235,9123456733,2,hosteltest,Student@12345,Parent@12345
21N81A0036,Sourav Ganguly,406,9876543236,9123456736,3,hosteltest,Student@12345,Parent@12345
21N81A0037,Rahul Dravid,407,9876543237,9123456737,4,hosteltest,Student@12345,Parent@12345
21N81A0038,VVS Laxman,408,9876543238,9123456738,1,hosteltest,Student@12345,Parent@12345
21N81A0039,Anil Kumble,409,9876543239,9123456739,2,hosteltest,Student@12345,Parent@12345
21N81A0040,Javagal Srinath,410,9876543240,9123456740,3,hosteltest,Student@12345,Parent@12345
21N81A0041,Zaheer Khan,501,9876543241,9123456741,4,hosteltest,Student@12345,Parent@12345
21N81A0042,Sagarika Ghatge,502,9876543242,9123456741,1,hosteltest,Student@12345,Parent@12345
21N81A0043,Gautam Gambhir,503,9876543243,9123456743,2,hosteltest,Student@12345,Parent@12345
21N81A0044,Virender Sehwag,504,9876543244,9123456744,3,hosteltest,Student@12345,Parent@12345
21N81A0045,Ravichandran Ashwin,505,9876543245,9123456745,4,hosteltest,Student@12345,Parent@12345
21N81A0046,Ravindra Jadeja,506,9876543246,9123456746,1,hosteltest,Student@12345,Parent@12345
21N81A0047,Cheteshwar Pujara,507,9876543247,9123456747,2,hosteltest,Student@12345,Parent@12345
21N81A0048,Ajinkya Rahane,508,9876543248,9123456748,3,hosteltest,Student@12345,Parent@12345
21N81A0049,Ishant Sharma,509,9876543249,9123456749,4,hosteltest,Student@12345,Parent@12345
21N81A0050,Mohammed Shami,510,9876543250,9123456750,1,hosteltest,Student@12345,Parent@12345
